trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.6995}",20,8,-117.54611972721777,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 2}",1
2,False,"{'a': 0.4, 'e': 0.69875}",20,0,-133.05143295298646,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.69775}",30,6,-32.048043991550564,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.4, 'e': 0.6965}",35,0,-309.4223536854315,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 5}",0
5,False,"{'a': 0.4, 'e': 0.6950000000000001}",30,0,-53.95710064076577,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.4, 'e': 0.69325}",30,0,-138.64689258678334,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.69125}",20,0,-183.00647417509873,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
8,False,"{'a': 0.4, 'e': 0.6890000000000001}",35,12,-109.61561941297941,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 1}",1
9,False,"{'a': 0.4, 'e': 0.6865000000000001}",30,0,-194.55104975211609,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
10,False,"{'a': 0.4, 'e': 0.6837500000000001}",25,6,-98.73763074668412,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 2}",1
11,False,"{'a': 0.4, 'e': 0.6807500000000001}",20,0,-19.035393968763174,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.6775000000000001}",20,0,-43.62675898857962,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.4, 'e': 0.6740000000000002}",20,8,-52.26687828300122,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
14,False,"{'a': 0.4, 'e': 0.6702500000000001}",25,0,-132.66582821450413,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.6662500000000001}",30,0,-167.34385262250888,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
16,False,"{'a': 0.4, 'e': 0.6620000000000001}",25,0,-119.90710854594883,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.6575000000000002}",30,0,-34.959342346659824,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.6527500000000002}",20,0,-86.83584579626229,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.4, 'e': 0.6477500000000002}",20,7,-91.64499486365875,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 2}",1
20,False,"{'a': 0.4, 'e': 0.6425000000000002}",25,8,-91.44614620565255,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 2}",1
21,False,"{'a': 0.4, 'e': 0.6370000000000002}",25,0,-102.35298336979845,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.4, 'e': 0.6312500000000002}",20,0,-177.13626139140803,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 4}",0
23,False,"{'a': 0.4, 'e': 0.6252500000000002}",20,0,-76.42638521512465,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.4, 'e': 0.6190000000000002}",20,0,-126.84523591942967,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
25,False,"{'a': 0.4, 'e': 0.6125000000000003}",25,0,-109.59404505841364,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
26,False,"{'a': 0.4, 'e': 0.6057500000000002}",20,8,-44.43133434817285,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
27,False,"{'a': 0.4, 'e': 0.5987500000000002}",25,0,-58.54687883243506,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.4, 'e': 0.5915000000000002}",25,4,-44.147337437524286,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
29,False,"{'a': 0.4, 'e': 0.5840000000000003}",20,0,-25.311177612185897,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
30,False,"{'a': 0.4, 'e': 0.5762500000000003}",20,0,-38.710359809588134,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
31,False,"{'a': 0.4, 'e': 0.5682500000000003}",20,0,-67.28974857273586,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.4, 'e': 0.5600000000000003}",20,0,-76.54261167568693,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
33,False,"{'a': 0.4, 'e': 0.5515000000000003}",25,0,-97.21548670715147,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
34,False,"{'a': 0.4, 'e': 0.5427500000000003}",30,0,-46.604838832569556,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.4, 'e': 0.5337500000000003}",25,8,-15.37216967358776,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
36,False,"{'a': 0.4, 'e': 0.5245000000000003}",25,0,-45.32352087858341,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
37,False,"{'a': 0.4, 'e': 0.5150000000000003}",35,0,-73.34654318289076,"{0: 29, 1: 1, 2: 2, 3: 2, 4: 1}",0
38,False,"{'a': 0.4, 'e': 0.5052500000000003}",25,0,-53.03271473189514,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.4, 'e': 0.4952500000000003}",25,13,-32.224543263025794,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.4, 'e': 0.4850000000000003}",25,0,-65.38839041835426,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
41,False,"{'a': 0.4, 'e': 0.4745000000000003}",25,6,-45.25945893757083,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 0}",1
42,False,"{'a': 0.4, 'e': 0.46375000000000033}",20,2,-27.081521991115384,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.4, 'e': 0.4527500000000003}",20,0,-20.382564900933062,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.4, 'e': 0.44150000000000034}",30,0,-50.548572606567355,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.4, 'e': 0.4300000000000003}",20,0,-101.61530458916923,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
46,False,"{'a': 0.4, 'e': 0.41825000000000034}",20,9,-13.579869718653823,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.4, 'e': 0.40625000000000033}",30,0,-6.285964428567771,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
48,False,"{'a': 0.4, 'e': 0.39400000000000035}",20,0,-96.5988284247353,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
49,False,"{'a': 0.4, 'e': 0.38150000000000034}",20,2,-73.40483153204366,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 1}",1
50,False,"{'a': 0.4, 'e': 0.36875000000000036}",20,0,-126.91010455044669,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
51,False,"{'a': 0.4, 'e': 0.35575000000000034}",20,11,20.91851658422348,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.4, 'e': 0.34250000000000036}",25,0,-51.16951642061925,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
53,False,"{'a': 0.4, 'e': 0.32900000000000035}",25,0,-54.645901776149046,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
54,False,"{'a': 0.4, 'e': 0.31525000000000036}",20,0,-7.777363166203095,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
55,False,"{'a': 0.4, 'e': 0.30125000000000035}",20,11,11.949642532717604,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.4, 'e': 0.28700000000000037}",30,12,-2.508058065191063,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,32.04669682636751,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,12,16.51897791929244,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,9,-18.302712636969382,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,0,-26.05309183564152,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",35,18,33.53961595024931,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,12,18.13911078734208,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,14,-21.540069478070343,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,0,-62.44902907046348,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,13,11.974539830562748,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-29.45640450478596,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
11,True,"{'a': 0, 'e': 0}",25,0,31.051653885239045,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",20,2,26.65837125326197,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,5,-16.52564197848392,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,True,"{'a': 0, 'e': 0}",20,16,8.514455430413227,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,5,26.445560973345273,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,14,6.296387100361228,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,7,20.502444117755896,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,3,-9.846000449707597,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,True,"{'a': 0, 'e': 0}",30,0,23.20360478348151,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",25,0,-50.8791105899067,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
21,True,"{'a': 0, 'e': 0}",20,0,29.721158044936708,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,True,"{'a': 0, 'e': 0}",30,2,-44.9975499977827,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 2}",1
23,True,"{'a': 0, 'e': 0}",30,0,22.14271288497438,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
24,True,"{'a': 0, 'e': 0}",20,5,21.607681183282967,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,13,10.812766859218359,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
